,Time,Power
961,1.432,-0.000419962
962,1.432,-0.000627755
963,1.442,-0.000716933
964,1.442,-0.000805306
965,1.442,-0.00089251
966,1.442,-0.000889215
967,1.442,-0.000884787
968,1.442,-0.000879131
969,1.452,-0.000675311
970,1.452,-0.000863878
971,1.452,-0.000939638
972,1.452,-0.000710974
973,1.452,-0.000997062
974,1.452,-0.00068251
975,1.462,-0.000666347
976,1.462,-0.000649075
977,1.462,-0.000414308
978,1.462,-0.000667522
979,1.462,-0.000646247
980,1.462,-0.001097113
981,1.472,-0.000653201
982,1.472,-0.000629931
983,1.472,-0.000560474
984,1.472,-0.000540225
985,1.472,-0.000757233
986,1.472,-0.000289033
987,1.472,-0.000250352
988,1.482,-0.000471864
989,1.482,-0.000753225
990,1.482,-0.000485649
991,1.482,-0.000476363
992,1.482,-0.000669652
993,1.482,-0.000429416
994,1.492,-0.00019149
995,1.492,-0.000192071
996,1.492,-0.000431078
997,1.492,-0.000472238
998,1.492,-0.000479536
999,1.492,-0.000563867
1000,1.502,-0.000813466
1001,1.502,-0.000511515
1002,1.502,-0.000443912
1003,1.502,-0.00045561
1004,1.502,-0.000510159
1005,1.502,-0.000479752
1006,1.512,-0.000491671
1007,1.512,-0.000457424
1008,1.512,-0.000664162
1009,1.512,-0.000673297
1010,1.512,-0.000287841
1011,1.512,-0.000442835
1012,1.512,-0.000125594
1013,1.522,-0.000604535
1014,1.522,-0.000404807
1015,1.522,-0.000472582
1016,1.522,-0.000477071
1017,1.522,-0.00051286
1018,1.522,-0.000516348
1019,1.532,-0.001221489
1020,1.532,-0.000555843
1021,1.532,-0.00056004
1022,1.532,-0.000230357
1023,1.532,-0.000852436
1024,1.532,-0.000751809
1025,1.542,-0.000758767
1026,1.542,-0.000491115
1027,1.542,-0.000464248
1028,1.542,-0.00047309
1029,1.542,-0.000482284
1030,1.542,-0.000747401
1031,1.552,-0.000263111
1032,1.552,-0.000586271
1033,1.552,-0.000593687
1034,1.552,-0.000598815
1035,1.552,-0.000641077
1036,1.552,-0.000894939
1037,1.552,-0.000594114
1038,1.562,-0.000820581
1039,1.562,-0.000748661
1040,1.562,-0.000547707
1041,1.562,-0.000555924
1042,1.562,-0.000554067
1043,1.562,-0.000511021
1044,1.572,-0.000434644
1045,1.572,-0.000359031
1046,1.572,-0.000326548
1047,1.572,-0.000266178
1048,1.572,-0.000228157
1049,1.572,0.000199645
1050,1.582,-8.94E-05
1051,1.582,0.000386063
